grid_id,lat,lon,data_g,num_farmers,include,area
611,22.055,71.275,,40,1,81.73
612,22.055,71.285,,39,1,79.03
613,22.055,71.295,,29,1,58.09
614,22.055,71.305,,14,1,27.21
615,22.055,71.315,,3,1,4.82
616,22.045,70.885,,0,0,15.7
617,22.045,70.895,,0,1,15.7
618,22.045,70.905,,0,1,15.7
619,22.045,70.915,,0,1,15.7
620,22.045,70.925,,3,0,4.82
621,22.045,70.935,,7,0,11.09
622,22.045,70.945,,16,1,29.33
623,22.045,70.955,,34,1,67.06
624,22.045,70.965,,39,1,79.03
625,22.045,70.975,,38,1,77.58
626,22.045,70.985,,30,1,60.79
627,22.045,70.995,,40,1,81.73
628,22.045,71.005,,42,1,83.85
629,22.045,71.015,,40,1,81.73
630,22.045,71.025,,40,1,81.73
631,22.045,71.035,,37,1,76.91
632,22.045,71.045,,38,1,77.58
633,22.045,71.055,,39,1,79.03
634,22.045,71.065,,34,1,67.06
635,22.045,71.075,,39,1,79.03
636,22.045,71.085,,36,1,74.21
637,22.045,71.095,,42,1,83.85
638,22.045,71.105,,39,1,79.03
639,22.045,71.115,,38,1,77.58
640,22.045,71.125,,42,1,83.85
641,22.045,71.135,,44,1,88
642,22.045,71.145,,40,1,81.73
643,22.045,71.155,,40,1,81.73
644,22.045,71.165,,36,1,74.21
645,22.045,71.175,,44,1,88
646,22.045,71.185,,44,1,88
647,22.045,71.195,,38,1,77.58
648,22.045,71.205,,22,1,44
649,22.045,71.215,,25,1,48.82
650,22.045,71.225,,40,1,81.73
651,22.045,71.235,,38,1,77.58
652,22.045,71.245,,42,1,83.85
653,22.045,71.255,,39,1,79.03
654,22.045,71.265,,38,1,77.58
655,22.045,71.275,,42,1,83.85
656,22.045,71.285,,42,1,83.85
657,22.045,71.295,,30,1,60.79
658,22.045,71.305,,19,1,39.18
659,22.045,71.315,,4,1,6.27
660,22.035,70.885,,0,0,15.7
661,22.035,70.895,,0,1,15.7
662,22.035,70.905,,0,1,15.7
663,22.035,70.915,,4,1,6.27
664,22.035,70.925,,16,1,29.33
665,22.035,70.935,,27,1,55.97
666,22.035,70.945,,33,1,65.61
667,22.035,70.955,,33,1,65.61
668,22.035,70.965,,34,1,67.06
669,22.035,70.975,,38,1,77.58
670,22.035,70.985,,27,1,55.97
671,22.035,70.995,,30,1,60.79
672,22.035,71.005,,40,1,81.73
673,22.035,71.015,,42,1,83.85
674,22.035,71.025,,42,1,83.85
675,22.035,71.035,,42,1,83.85
676,22.035,71.045,,42,1,83.85
677,22.035,71.055,,44,1,88
678,22.035,71.065,,42,1,83.85
679,22.035,71.075,,42,1,83.85
680,22.035,71.085,,42,1,83.85
681,22.035,71.095,,44,1,88
682,22.035,71.105,,39,1,79.03
683,22.035,71.115,,38,1,77.58
684,22.035,71.125,,42,1,83.85
685,22.035,71.135,,43,1,85.3
686,22.035,71.145,,41,1,82.4
687,22.035,71.155,,39,1,79.03
688,22.035,71.165,,37,1,76.91
689,22.035,71.175,,43,1,85.3
690,22.035,71.185,,38,1,77.58
691,22.035,71.195,,25,1,48.82
692,22.035,71.205,,13,1,24.51
693,22.035,71.215,,29,1,58.09
694,22.035,71.225,,42,1,83.85
695,22.035,71.235,,42,1,83.85
696,22.035,71.245,,43,1,85.3
697,22.035,71.255,,40,1,81.73
698,22.035,71.265,,38,1,77.58
699,22.035,71.275,,40,1,81.73
700,22.035,71.285,,31,1,62.24
701,22.035,71.295,,12,1,23.06
702,22.035,71.305,,1,0,1.45
703,22.035,71.315,,0,0,15.7
704,22.025,70.885,,0,0,15.7
705,22.025,70.895,,1,0,1.45
706,22.025,70.905,,4,1,6.27
707,22.025,70.915,,19,1,39.18
708,22.025,70.925,,34,1,67.06
709,22.025,70.935,,40,1,81.73
710,22.025,70.945,,39,1,79.03
711,22.025,70.955,,33,1,65.61
712,22.025,70.965,,28,1,56.64
713,22.025,70.975,,39,1,79.03
714,22.025,70.985,,31,1,62.24
715,22.025,70.995,,30,1,60.79
716,22.025,71.005,,37,1,76.91
717,22.025,71.015,,38,1,77.58
718,22.025,71.025,,42,1,83.85
719,22.025,71.035,,42,1,83.85
720,22.025,71.045,,42,1,83.85
721,22.025,71.055,,42,1,83.85
722,22.025,71.065,,44,1,88
723,22.025,71.075,,42,1,83.85
724,22.025,71.085,,42,1,83.85
725,22.025,71.095,,44,1,88
726,22.025,71.105,,43,1,85.3
727,22.025,71.115,,42,1,83.85
